stock_id,stock_name,exchange,meta_sector,sub_sector,note
2301,光寶科,TWSE,AI伺服器,電腦系統業,"⚠️ 也在 LED, 光通訊, 太陽能, 網通設備, 電動車, 電子製造服務, 電池, 電源供應器, 電腦周邊"
2312,金寶,TWSE,AI伺服器,電腦系統業,"⚠️ 也在 消費電子, 網通設備, 行動通訊, 電動車, 電子製造服務, 電腦周邊"
2317,鴻海,TWSE,AI伺服器,AI伺服器,"⚠️ 也在 機器人/自動化, 消費電子, 網通設備, 行動通訊, 衛星通訊, 軟體/雲端, 連接器, 遊戲/電競, 電動車, 電子製造服務, 電腦周邊, 面板"
2324,仁寶,TWSE,AI伺服器,AI伺服器,"⚠️ 也在 消費電子, 網通設備, 行動通訊, 電動車, 電子製造服務, 電腦周邊, 面板"
2328,廣宇,TWSE,連接器,線材連接器,廣宇主業連接器/線材，手動移出AI伺服器
2331,精英,TWSE,AI伺服器,主機板,"⚠️ 也在 消費電子, 電腦周邊"
2352,佳世達,TWSE,AI伺服器,電腦系統業,"⚠️ 也在 網通設備, 軟體/雲端, 電子製造服務, 電腦周邊, 面板"
2353,宏碁,TWSE,AI伺服器,AI伺服器,"⚠️ 也在 消費電子, 遊戲/電競, 電腦周邊, 面板"
2354,鴻準,TWSE,AI伺服器,電腦系統業,"⚠️ 也在 散熱, 電子製造服務"
2356,英業達,TWSE,AI伺服器,AI伺服器,"⚠️ 也在 電子製造服務, 電腦周邊"
2357,華碩,TWSE,AI伺服器,AI伺服器,"⚠️ 也在 消費電子, 行動通訊, 遊戲/電競, 電腦周邊"
2362,藍天,TWSE,AI伺服器,電腦系統業,⚠️ 也在 電腦周邊
2364,倫飛,TWSE,AI伺服器,電腦系統業,⚠️ 也在 電腦周邊
2376,技嘉,TWSE,AI伺服器,AI伺服器,"⚠️ 也在 遊戲/電競, 電腦周邊"
2377,微星,TWSE,AI伺服器,伺服器,"⚠️ 也在 遊戲/電競, 電腦周邊"
2382,廣達,TWSE,AI伺服器,AI伺服器,"⚠️ 也在 電子製造服務, 電腦周邊"
2399,映泰,TWSE,AI伺服器,主機板,⚠️ 也在 電腦周邊
2405,輔信,TWSE,AI伺服器,電腦系統業,⚠️ 也在 電腦周邊
2425,承啟,TWSE,AI伺服器,AI伺服器,
2465,麗臺,TWSE,AI伺服器,繪圖卡,
3005,神基,TWSE,AI伺服器,電腦系統業,"⚠️ 也在 電子製造服務, 電腦周邊"
3013,晟銘電,TWSE,AI伺服器,伺服器機殼,
3017,奇鋐,TWSE,散熱,散熱模組,奇鋐主業散熱，手動移出AI伺服器
3032,偉訓,TWSE,AI伺服器,伺服器機殼,"⚠️ 也在 遊戲/電競, 電子製造服務, 電源供應器, 電腦周邊"
3213,茂訊,TPEx,AI伺服器,電腦系統業,"⚠️ 也在 電子通路, 電腦周邊"
3231,緯創,TWSE,AI伺服器,AI伺服器,"⚠️ 也在 電子製造服務, 電腦周邊"
3515,華擎,TWSE,AI伺服器,主機板,
3520,華盈,TPEx,AI伺服器,電腦系統業,"⚠️ 也在 連接器, 電子製造服務"
3693,營邦,TPEx,AI伺服器,伺服器機殼,⚠️ 也在 電腦周邊
3701,大眾控,TWSE,AI伺服器,電腦系統業,"⚠️ 也在 消費電子, 電動車, 電子製造服務, 電腦周邊"
3706,神達,TWSE,AI伺服器,AI伺服器,"⚠️ 也在 網通設備, 衛星通訊, 電動車, 電腦周邊"
4938,和碩,TWSE,AI伺服器,AI伺服器,"⚠️ 也在 消費電子, 網通設備, 行動通訊, 遊戲/電競, 電動車, 電子製造服務, 電腦周邊"
5457,宣德,TPEx,AI伺服器,電腦系統業,"⚠️ 也在 連接器, 電子製造服務"
6117,迎廣,TWSE,AI伺服器,伺服器,⚠️ 也在 電子製造服務
6150,撼訊,TPEx,AI伺服器,繪圖卡,
6161,捷波,TPEx,AI伺服器,主機板,⚠️ 也在 電腦周邊
6266,泰詠,TPEx,AI伺服器,電腦系統業,⚠️ 也在 電子製造服務
6278,台表科,TWSE,AI伺服器,電腦系統業,"⚠️ 也在 LED, 電子製造服務"
6669,緯穎,TWSE,AI伺服器,AI伺服器,
6933,AMAX-KY,TWSE,AI伺服器,伺服器,⚠️ 也在 軟體/雲端
7711,永擎,TWSE,AI伺服器,AI伺服器,
8050,廣積,TPEx,AI伺服器,主機板,⚠️ 也在 電腦周邊
8101,華冠,TWSE,AI伺服器,電腦系統業,"⚠️ 也在 消費電子, 行動通訊, 電子製造服務"
8183,精星,TPEx,AI伺服器,電腦系統業,⚠️ 也在 電子製造服務
8210,勤誠,TWSE,AI伺服器,伺服器機殼,
9105,泰金寶-DR,TWSE,AI伺服器,主機板,"⚠️ 也在 消費電子, 電子製造服務, 電腦周邊, 面板"
2363,矽統,TWSE,AI晶片,繪圖IC,⚠️ 也在 感測/影像IC
2388,威盛,TWSE,AI晶片,CPU,"⚠️ 也在 MCU/嵌入式, 通訊IC, 電動車, 面板"
2401,凌陽,TWSE,AI晶片,DSP,"⚠️ 也在 MCU/嵌入式, PMIC, 感測/影像IC"
2454,聯發科,TWSE,AI晶片,CPU,"⚠️ 也在 MCU/嵌入式, PMIC, 感測/影像IC, 行動通訊, 通訊IC"
3035,智原,TWSE,AI晶片,ASIC,
3228,金麗科,TPEx,AI晶片,ASIC,"⚠️ 也在 MCU/嵌入式, 通訊IC"
3443,創意,TWSE,AI晶片,ASIC,
3661,世芯-KY,TWSE,AI晶片,ASIC,
5302,太欣,TPEx,AI晶片,DSP,"⚠️ 也在 MCU/嵌入式, 感測/影像IC"
5471,松翰,TWSE,AI晶片,DSP,"⚠️ 也在 MCU/嵌入式, 感測/影像IC"
6423,億而得,TPEx,AI晶片,設計IP,
6533,晶心科,TWSE,AI晶片,設計IP,
6568,宏觀,TPEx,AI晶片,ASIC,⚠️ 也在 通訊IC
6643,M31,TPEx,AI晶片,設計IP,
6684,安格,TPEx,AI晶片,設計IP,"⚠️ 也在 感測/影像IC, 通訊IC"
7749,意騰-KY,TWSE,AI晶片,ASIC,
8227,巨有科技,TPEx,AI晶片,ASIC,
1410,南染,TWSE,IC封裝,IC封裝測試,
2329,華泰,TWSE,IC封裝,IC封裝,"⚠️ 也在 AI伺服器, 電子製造服務"
2369,菱生,TWSE,IC封裝,IC封裝,
2441,超豐,TWSE,IC封裝,IC封裝,
2449,京元電子,TWSE,IC封裝,IC封裝,
3030,德律,TWSE,IC封裝,封測用設備,⚠️ 也在 半導體設備
3055,蔚華科,TWSE,IC封裝,封測用設備,⚠️ 也在 半導體設備
3093,港建*,TPEx,IC封裝,封測用設備,⚠️ 也在 半導體設備
3131,弘塑,TPEx,先進封裝設備,封測用設備,"⚠️ 也在 半導體材料, 半導體設備"
3264,欣銓,TPEx,IC封裝,IC封裝測試,
3265,台星科,TPEx,IC封裝,IC封裝,
3305,昇貿,TWSE,IC封裝,金、錫凸塊,"⚠️ 也在 PCB, 銅箔基板"
3372,典範,TPEx,IC封裝,IC封裝,
3374,精材,TPEx,IC封裝,IC封裝,
3450,聯鈞,TWSE,IC封裝,IC封裝,
3490,單井,TPEx,IC封裝,封測用設備,"⚠️ 也在 半導體設備, 太陽能"
3563,牧德,TWSE,IC封裝,封測用設備,⚠️ 也在 半導體設備
3567,逸昌,TPEx,IC封裝,IC封裝測試,
3581,博磊,TPEx,IC封裝,封測用設備,⚠️ 也在 半導體設備
3631,晟楠,TPEx,IC封裝,金、錫凸塊,
3711,日月光投控,TWSE,IC封裝,IC封裝,"⚠️ 也在 AI伺服器, 電子製造服務"
5344,立衛,TPEx,IC封裝,IC封裝測試,
5443,均豪,TPEx,先進封裝設備,封測用設備,⚠️ 也在 半導體設備
6147,頎邦,TPEx,IC封裝,IC封裝,⚠️ 也在 PMIC
6187,萬潤,TPEx,先進封裝設備,封測用設備,⚠️ 也在 半導體設備
6217,中探針,TPEx,IC封裝,探針、探針卡,
6223,旺矽,TPEx,IC封裝,探針、探針卡,⚠️ 也在 半導體設備
6239,力成,TWSE,IC封裝,IC封裝,
6257,矽格,TWSE,IC封裝,IC封裝,
6261,久元,TPEx,IC封裝,IC封裝測試,⚠️ 也在 半導體設備
6451,訊芯-KY,TWSE,IC封裝,IC封裝,
6515,穎崴,TWSE,IC封裝,探針、探針卡,
6525,捷敏-KY,TWSE,IC封裝,IC封裝測試,
6640,均華,TPEx,先進封裝設備,封測用設備,⚠️ 也在 半導體設備
7730,暉盛-創,TWSE,IC封裝,封測用設備,⚠️ 也在 半導體設備
7734,印能科技,TPEx,先進封裝設備,封測用設備,⚠️ 也在 半導體設備
7751,竑騰,TPEx,IC封裝,封測用設備,⚠️ 也在 半導體設備
7769,鴻勁,TWSE,IC封裝,封測用設備,⚠️ 也在 半導體設備
8027,鈦昇,TPEx,IC封裝,封測用設備,⚠️ 也在 半導體設備
8110,華東,TWSE,IC封裝,IC封裝,
8150,南茂,TWSE,IC封裝,IC封裝,⚠️ 也在 PMIC
8162,微矽電子-創,TWSE,IC封裝,IC封裝測試,
1611,中電,TWSE,LED,LED,
2393,億光,TWSE,LED,LED,
2466,冠西電,TWSE,LED,LED,⚠️ 也在 光通訊
2491,吉祥全,TWSE,LED,LED,
3031,佰鴻,TWSE,LED,LED,
3066,李洲,TPEx,LED,LED,
3339,泰谷,TPEx,LED,LED,
3346,麗清,TWSE,LED,LED,
3406,玉晶光,TWSE,光學/相機,光學元件,玉晶光主業相機鏡頭，手動移出LED
3437,榮創,TWSE,LED,LED,
3591,艾笛森,TWSE,LED,LED,
3714,富采,TWSE,LED,LED,
3717,聯嘉投控,TWSE,LED,LED,
4956,光鋐,TWSE,LED,LED,
4972,湯石照明,TPEx,LED,LED,
5230,雷笛克光學,TPEx,LED,LED,⚠️ 也在 電子製造服務
5244,弘凱,TWSE,LED,LED,
6164,華興,TWSE,LED,LED,
6168,宏齊,TWSE,LED,LED,
6226,光鼎,TWSE,LED,LED,
6597,立誠,TPEx,LED,LED,
6854,錼創科技-KY創,TWSE,LED,LED,
7717,萊德光電-KY,TPEx,LED,LED,"⚠️ 也在 光通訊, 網通設備"
8111,立碁,TPEx,LED,LED,
911868,同方友友-DR,TWSE,LED,LED,
2379,瑞昱,TWSE,通訊IC,網路通訊IC,Realtek主業網路/音效IC，手動改歸通訊IC
2436,偉詮電,TWSE,MCU/嵌入式,MCU,"⚠️ 也在 PMIC, 電子通路"
2458,義隆,TWSE,MCU/嵌入式,MCU,⚠️ 也在 感測/影像IC
3014,聯陽,TWSE,MCU/嵌入式,IO控制IC,"⚠️ 也在 PMIC, 感測/影像IC, 通訊IC"
3041,揚智,TWSE,MCU/嵌入式,消費性IC,⚠️ 也在 感測/影像IC
3122,笙泉,TPEx,MCU/嵌入式,MCU,
3169,亞信,TPEx,MCU/嵌入式,嵌入式晶片,⚠️ 也在 通訊IC
3268,海德威,TPEx,MCU/嵌入式,其他IC,
3438,類比科,TPEx,MCU/嵌入式,MCU,⚠️ 也在 PMIC
3556,禾瑞亞,TPEx,MCU/嵌入式,消費性IC,⚠️ 也在 感測/影像IC
4951,精拓科,TPEx,MCU/嵌入式,嵌入式晶片,⚠️ 也在 PMIC
4952,凌通,TWSE,MCU/嵌入式,MCU,"⚠️ 也在 PMIC, 感測/影像IC, 電動車, 電源供應器"
5236,凌陽創新,TPEx,MCU/嵌入式,MCU,⚠️ 也在 感測/影像IC
5274,信驊,TPEx,MCU/嵌入式,其他IC,⚠️ 也在 感測/影像IC
5487,通泰,TPEx,MCU/嵌入式,MCU,⚠️ 也在 感測/影像IC
6129,普誠,TPEx,MCU/嵌入式,消費性IC,"⚠️ 也在 PMIC, 感測/影像IC, 通訊IC"
6202,盛群,TWSE,MCU/嵌入式,MCU,⚠️ 也在 感測/影像IC
6231,系微,TPEx,MCU/嵌入式,BIOS,⚠️ 也在 軟體/雲端
6233,旺玖,TPEx,MCU/嵌入式,其他IC,"⚠️ 也在 PMIC, 感測/影像IC, 通訊IC"
6243,迅杰,TWSE,MCU/嵌入式,MCU,⚠️ 也在 感測/影像IC
6411,晶焱,TPEx,MCU/嵌入式,其他IC,
6462,神盾,TPEx,感測/影像IC,感測元件,神盾主業指紋感測器，手動改歸感測/影像IC
6474,華豫寧,TPEx,MCU/嵌入式,MCU,"⚠️ 也在 PMIC, 軟體/雲端, 電子通路"
6494,九齊,TPEx,MCU/嵌入式,MCU,⚠️ 也在 感測/影像IC
6695,芯鼎,TWSE,MCU/嵌入式,消費性IC,⚠️ 也在 感測/影像IC
6716,應廣,TPEx,MCU/嵌入式,MCU,
6907,雅特力-KY,TPEx,MCU/嵌入式,MCU,
8024,佑華,TPEx,MCU/嵌入式,MCU,⚠️ 也在 感測/影像IC
1528,恩德,TWSE,PCB,印刷電路板相關,
2316,楠梓電,TWSE,PCB,印刷電路板,"⚠️ 也在 AI伺服器, 電子製造服務"
2355,敬鵬,TWSE,PCB,印刷電路板,
2367,燿華,TWSE,PCB,印刷電路板,
2368,金像電,TWSE,PCB,印刷電路板,
3044,健鼎,TWSE,PCB,印刷電路板,
3276,宇環,TPEx,PCB,印刷電路板,
3715,定穎投控,TWSE,PCB,印刷電路板,
4526,東台,TWSE,PCB,印刷電路板相關,
4909,新復興,TPEx,PCB,印刷電路板,
4927,泰鼎-KY,TWSE,PCB,印刷電路板,
5291,邑昇,TPEx,PCB,印刷電路板,
5355,佳總,TPEx,PCB,印刷電路板,
5439,高技,TPEx,PCB,印刷電路板,
5464,霖宏,TPEx,PCB,印刷電路板,
5469,瀚宇博,TWSE,PCB,印刷電路板,"⚠️ 也在 AI伺服器, 電子製造服務"
5498,凱崴,TPEx,PCB,印刷電路板相關,"⚠️ 也在 AI伺服器, 電子製造服務"
6108,競國,TWSE,PCB,印刷電路板,
6114,久威,TPEx,PCB,印刷電路板,⚠️ 也在 電子通路
6141,柏承,TWSE,PCB,印刷電路板,
6156,松上,TPEx,PCB,印刷電路板,⚠️ 也在 電源供應器
6191,精成科,TWSE,PCB,印刷電路板,"⚠️ 也在 AI伺服器, 電子製造服務"
6194,育富,TPEx,PCB,印刷電路板,
6210,慶生,TPEx,PCB,印刷電路板,
6924,榮惠-KY創,TWSE,PCB,印刷電路板,
8021,尖點,TWSE,PCB,印刷電路板相關,"⚠️ 也在 AI伺服器, 電子製造服務"
8155,博智,TPEx,PCB,印刷電路板,
8213,志超,TWSE,PCB,印刷電路板,
3034,聯詠,TWSE,PMIC,LCD驅動IC,"⚠️ 也在 感測/影像IC, 行動通訊"
3141,晶宏,TPEx,PMIC,馬達IC,⚠️ 也在 感測/影像IC
3209,全科,TWSE,PMIC,類比IC,"⚠️ 也在 通訊IC, 電子通路"
3232,昱捷,TPEx,PMIC,LCD驅動IC,"⚠️ 也在 功率半導體, 電子通路"
3257,虹冠電,TWSE,PMIC,電源管理IC,⚠️ 也在 功率半導體
3288,點晶,TPEx,PMIC,類比IC,
3527,聚積,TPEx,PMIC,類比IC,
3545,敦泰,TWSE,PMIC,LCD驅動IC,"⚠️ 也在 感測/影像IC, 行動通訊"
3588,通嘉,TWSE,PMIC,電源管理IC,
3592,瑞鼎,TWSE,PMIC,LCD驅動IC,⚠️ 也在 行動通訊
4961,天鈺,TWSE,PMIC,類比IC,⚠️ 也在 行動通訊
4966,譜瑞-KY,TPEx,PMIC,LCD驅動IC,"⚠️ 也在 感測/影像IC, 通訊IC, 連接器"
5299,杰力,TPEx,PMIC,類比IC,⚠️ 也在 功率半導體
5468,凱鈺,TPEx,PMIC,電池保護IC,⚠️ 也在 通訊IC
6130,上亞科技,TPEx,PMIC,類比IC,
6138,茂達,TPEx,PMIC,電源管理IC,⚠️ 也在 感測/影像IC
6291,沛亨,TPEx,PMIC,電源管理IC,⚠️ 也在 音響/耳機
6415,矽力*-KY,TWSE,PMIC,電源管理IC,
6679,鈺太,TPEx,PMIC,類比IC,⚠️ 也在 感測/影像IC
6693,廣閎科,TPEx,PMIC,馬達IC,⚠️ 也在 功率半導體
6719,力智,TWSE,PMIC,電源管理IC,⚠️ 也在 功率半導體
6720,久昌,TPEx,PMIC,類比IC,⚠️ 也在 功率半導體
6799,來頡,TWSE,PMIC,電源管理IC,
6962,奕力-KY,TWSE,PMIC,LCD驅動IC,
6996,力領科技,TPEx,PMIC,LCD驅動IC,
7770,君曜,TPEx,PMIC,LCD驅動IC,"⚠️ 也在 感測/影像IC, 通訊IC"
8016,矽創,TWSE,PMIC,LCD驅動IC,"⚠️ 也在 感測/影像IC, 行動通訊"
8081,致新,TWSE,PMIC,電源管理IC,
2374,佳能,TWSE,光學/相機,光學元件,⚠️ 也在 行動通訊
3008,大立光,TWSE,光學/相機,光學元件,
3019,亞光,TWSE,光學/相機,光學元件,
3360,尚立,TPEx,光學/相機,影像感測元件,⚠️ 也在 電子通路
3362,先進光,TPEx,光學/相機,光學元件,
3441,聯一光,TPEx,光學/相機,光學元件,
3504,揚明光,TWSE,光學/相機,光學元件,"⚠️ 也在 消費電子, 電腦周邊"
3630,新鉅科,TPEx,光學/相機,光學元件,
3694,海華,TWSE,光學/相機,光學元件,⚠️ 也在 網通設備
4974,亞泰,TPEx,光學/相機,影像感測元件,
4976,佳凌,TWSE,光學/相機,光學元件,
6209,今國光,TWSE,光學/相機,光學元件,
6283,淳安,TWSE,光學/相機,光學元件,"⚠️ 也在 電動車, 電腦周邊"
6498,久禾光,TPEx,光學/相機,光學元件,
6517,保勝光學,TPEx,光學/相機,光學元件,
6668,中揚光,TWSE,光學/相機,光學元件,
6859,伯特光,TPEx,光學/相機,光學元件,
7402,邑錡,TPEx,光學/相機,攝影設備,⚠️ 也在 消費電子
7772,耀穎,TPEx,光學/相機,影像感測元件,
8249,菱光,TWSE,光學/相機,影像感測元件,
3025,星通,TWSE,光通訊,光通訊,⚠️ 也在 網通設備
3163,波若威,TPEx,光通訊,光通訊,
3363,上詮,TPEx,光通訊,光通訊,
3419,譁裕,TWSE,光通訊,光通訊,⚠️ 也在 網通設備
3672,康聯訊,TPEx,光通訊,光通訊,
3704,合勤控,TWSE,網通設備,網通設備,合勤控(ZyXEL母公司)主業網路設備，手動移出光通訊
4903,聯光通,TPEx,光通訊,光通訊,
4908,前鼎,TPEx,光通訊,光通訊,
4977,眾達-KY,TWSE,光通訊,光通訊,
4979,華星光,TPEx,光通訊,光通訊,
6263,普萊德,TPEx,光通訊,光通訊,⚠️ 也在 網通設備
6426,統新,TWSE,光通訊,光通訊,
6530,創威,TPEx,光通訊,光通訊,
6588,東典光電,TPEx,光通訊,光通訊,"⚠️ 也在 消費電子, 網通設備"
8011,台通,TWSE,光通訊,光通訊,⚠️ 也在 行動通訊
8045,達運光電,TWSE,光通訊,光通訊,⚠️ 也在 軟體/雲端
8048,德勝,TPEx,光通訊,光通訊,
8089,康全電訊,TPEx,光通訊,光通訊,⚠️ 也在 網通設備
2059,川湖,TWSE,其他電子,其他電子零件,"⚠️ 未命中任何 META，原始: 其他電子零件, 電子零件元件"
2460,建通,TWSE,其他電子,其他電子零件,"⚠️ 未命中任何 META，原始: 其他電子零件, 電子零件元件"
